,index,image_link,group_id,entity_name,OCR Text,prediction
13164,13176,https://m.media-amazon.com/images/I/41ecPXTfpfL.jpg,893692,height,amazon basics Protective extra-thick ABS hard shell with scratch resistant finish Telescoping handle and 4 double spinner wheels ensure smooth-rolling mobility Expandable to include up to 15% more packing space when needed Orange 21-inch,The height of the object in the image is 21 inches.
13223,13235,https://m.media-amazon.com/images/I/41etXDVYYoL.jpg,460806,height,ISIN TRUE CIKOR HD Polarizer 100x100rnrn,"The height of the object, as indicated in the image, is 100mm."
13858,13870,https://m.media-amazon.com/images/I/41hFOYc4T3L.jpg,648011,height,Dimensions 043mm 77mm,The height of the object in the image is 77 mm.
13978,13990,https://m.media-amazon.com/images/I/41hnUzCF-JL.jpg,434825,height,"Size 6""x 9""(100Pck) 6x9 Color Black Material Plastic",The height of the object in the image is 6 inches.
14042,14054,https://m.media-amazon.com/images/I/41i-8U1EbEL.jpg,119607,height,Total Length: 11.8 in/30 cm width:8.8 in/22.5 cm,"The height of the object in the image is 11.8 inches or 30 centimeters, as indicated by the measurement provided on the image itself."
14420,14432,https://m.media-amazon.com/images/I/41jcjC6W2tL.jpg,396159,height,Total length :35.43 in/90 cm Width:23.6 in/60cm,The height of the object in the image is 35.43 inches or 90 centimeters.
14663,14675,https://m.media-amazon.com/images/I/41kKtHhvSBL.jpg,658003,height,High And Diameter. 35.45H/15.76D 29.55H/14.18D 23.64H/13D,"The height of the object in the image is 35.45 inches, as indicated by the label next to the tallest cylinder on the left."
14732,14744,https://m.media-amazon.com/images/I/41keKUBKx5L.jpg,789706,height,8.5MM x12PCS,"The height of the object in the image is indicated as ""8.5MM,"" which means 8.5 millimeters. This measurement is provided alongside the diameter, suggesting that both dimensions are important for identifying or using these objects."
14784,14796,https://m.media-amazon.com/images/I/41kqNnzt50L.jpg,913156,height,Frosted Glass 2.6 Set Of 4,"The height of the object in the image is 2.6 inches, as indicated by the measurement line and label on the right side of the glass."
14814,14826,https://m.media-amazon.com/images/I/41kyOrhV3BL.jpg,931247,height,108 in 54 in,"The height of the object in the image, which is a table with a tablecloth draped over it, cannot be precisely determined from this perspective. The image only provides measurements for the width and length of the tabletop surface covered by the cloth, not the height of the table itself or the tablecloth. Therefore, based on the information provided in the image, we can't report the height of the object."
15287,15300,https://m.media-amazon.com/images/I/41mhNtPUYPL.jpg,460806,height,ND8(0.9) 100x100mm K&FONCEPT PRO,The height of the object in the image is 100 mm.
15565,15580,https://m.media-amazon.com/images/I/41njxoVwPDS.jpg,681445,height,Special Nan plastic spike memorial vase with butterfly decoration.. Measures33xllcm SPECIAL NAN Always Loved And Sadly Missed,33x11cm
15642,15657,https://m.media-amazon.com/images/I/41o30ZPcxSL.jpg,460806,height,Nisi S+,"The height of the object in the image is 49mm, as indicated by the measurement ""49mm"" printed on the ring. This suggests that the diameter of the lens filter or adapter ring is 49 millimeters when viewed from its side."
17098,17116,https://m.media-amazon.com/images/I/41td3gXDWvL.jpg,913156,height,Total Length:8.4 in/21.5 cm width:1.7in4.5 cm,"The height of the object in the image is not directly provided with units. However, based on the given dimensions, we can infer that the total length and width are measurements from one side to the other along the circular rim, suggesting that the height could be approximately half the diameter of the circle if it were a simple cylindrical shape. Since the exact height is not specified, we cannot provide an accurate numerical value for the height without additional information or assumptions about the shape's proportions."
18667,18689,https://m.media-amazon.com/images/I/41zQEHNPAnL.jpg,986932,height,123G 19.5CM 12CM,"The height of the object, as indicated in the image, is 19.5 centimeters (cm)."
18932,18955,https://m.media-amazon.com/images/I/51+7lBdp96L.jpg,396159,height,Total length:11.7 in/30 cm Diameter:11.7in/30cm,"The height of the object in the image, as stated in the text overlay, is 11.7 inches or 30 centimeters."
18949,18972,https://m.media-amazon.com/images/I/51+8oPi6heL.jpg,883833,height,Deflettore condizionatore-Transparent model 27.2CM 90CM,The height of the object in the image is 27.2 cm.
19064,19087,https://m.media-amazon.com/images/I/51+GF2wmDkL.jpg,907907,height,EGNn 9 4 3 3.6 0.06 Product: Bearing Bike Pedals Brand:XYCozyNest Model:XT-T002 Material: aluminum alloy Weight352g per pair Color:Black/Red/Blue/Colorfu Advantages:Light in weight and high in cost performance Application:folding bicycle mountain bikes and road bicycle,The height of the object in the image is 3.6 inches.
19150,19173,https://m.media-amazon.com/images/I/51+MXOm0RYL.jpg,278850,height,te* EJ+3:27x27mm 02 3 TODOLIST 38.9.25,The height of the object in the image is 27 mm.
19266,19289,https://m.media-amazon.com/images/I/51+V-NQl8QL.jpg,524117,height,52. 5CM 3 PCS 10CM 105CM 6PCS 19. 5CM 17.5CM 25.4CM 34CM Tamano Plegado,"The height of the object in the image is 52.5 centimeters, as indicated by the measurement provided on the right side of the image where three units are shown stacked vertically."
19449,19472,https://m.media-amazon.com/images/I/51+hbl1CwYL.jpg,816782,height,,The height of the object in the image is indicated as 75 cm.
19592,19617,https://m.media-amazon.com/images/I/51+rMnnarAL.jpg,478357,height,Size: in 39.56 21.65 17.71,The height of the object in the image is indicated as 17.71 inches.
19649,19674,https://m.media-amazon.com/images/I/51+vVH0FEpL.jpg,952470,height,"Heavy Duty Stainless Steel Blade Large rivets for securely connecting Aluminumbar reinforcement design 6.5Wide Curved blade, Waterproof andsturdy easier to scrape and clean","The height of the object in the image is 6.5 inches, as indicated by the label on the blade. This measurement refers to the length of the blade's edge from one side to the other, which is a common way to describe the size of kitchen knives and similar tools."
19652,19677,https://m.media-amazon.com/images/I/51+vZ8n-tMS.jpg,640408,height,"200 100 ZO The oz&ML double scalewas 1 adopted,and the scale block was designed with transparent design.The capacity of drinks was clearand visible 9.5cm","The height of the object, as indicated in the image, is 9.5 cm. This measurement is shown with two arrows pointing to the rim of the cup, providing a clear indication of its vertical dimension."
19724,19749,https://m.media-amazon.com/images/I/51-+wF7kgbL.jpg,120219,height,JV 3 JJ No.7550 &RyF W45xD85H155mm 156g,"The height of the object, as indicated in the image with units, is approximately 155 millimeters (mm)."
20013,20038,https://m.media-amazon.com/images/I/51-I0YMBD9L.jpg,558806,height,4' 7.25,"The height of the object, as indicated in the image, is 7.25 inches."
20676,20703,https://m.media-amazon.com/images/I/510-BNGrroL.jpg,658003,height,"18"" 15"" 12"" Butterfly Leg(s) 15Wx9.5H Butterfly Leg(s) 12.5""Wx7.75H Butterfly Leg(s) 10Wx6.5H",The height of the object in the image is indicated as 12 inches.
20693,20720,https://m.media-amazon.com/images/I/5100Pls0z5L.jpg,816782,height,O,"The height of the object, as indicated by the scale in the image, is 75 centimeters."
21136,21163,https://m.media-amazon.com/images/I/510UVQ8Q9aS.jpg,220662,height,80mmltyJ C12R:330,The height of the object in the image is 80mm.
21493,21520,https://m.media-amazon.com/images/I/510rrO0JzsL.jpg,705487,height,15' 15' GENEROUS SIZE,The height of the object in the image is 15 feet.
21782,21812,https://m.media-amazon.com/images/I/5119BvcCyOL.jpg,126471,height,Size Queen 61x15x104 Material Moving Boxes & Moving Supplies Direct from the Factory! UBOXES Mattress Cover QUEEN MATTRESS BAG Closure Type Pull On Protect from dirt dust water and moving damage Easy to slide over furniture Ideal for use during movin g.storage or renovation Made with heavy g Fabric Type Vinyl,"The height of the object, which is a queen-sized mattress cover, is 15 inches as indicated on the packaging."
21913,21943,https://m.media-amazon.com/images/I/511J9P+PV1S.jpg,460806,height,,"The height of the object in the image is 52mm, as indicated by the text ""UV IR CUT Filter 52mm"" on the rim of the filter. This measurement specifies the diameter of the filter's threaded ring, which is a standard size for camera lenses and accessories."
21970,22000,https://m.media-amazon.com/images/I/511MjCE6IWL.jpg,886344,height,62.91',The height of the object in the image is 62.91 inches.
22024,22054,https://m.media-amazon.com/images/I/511Qc9dxuOL.jpg,347320,height,2.991N 1.96IN Mold weight: 119g Drop weight: 25g,"The height of the object in the image, which is the mold, is indicated as 2.99 inches."
22092,22122,https://m.media-amazon.com/images/I/511X6xFtoJL.jpg,180410,height,"DETAILS 3.5hx6.4wx01d glitter fabric trim:saffiano metal pinmount with spade logo two way spade jacquard lining exterior:7 credit card slots,2 slip pockets  zip closure dust bag not included imported",The height of the object in the image is 3.5 inches.
22098,22128,https://m.media-amazon.com/images/I/511XpSC-JzL.jpg,668889,height,1.5mm SKI 180mm 3 977292114417 R,"The height of the object in the image, as indicated by the label, is 180 mm."
22156,22186,https://m.media-amazon.com/images/I/511cI-Qu4GL.jpg,675317,height,Material: Aluminum alloy Color: Brandy gold Total Length : 9.84 Inch(250mm) Total width: Screws(same color with pull): 1.26 Inch(32mm) 0.63 Inch(16mm) x2~4 pcs Screw quantity sent according to total length,The height of the object in the image is 9.84 inches (250mm).
22220,22250,https://m.media-amazon.com/images/I/511gdt9MpCL.jpg,483370,height,90g 2 8 c m CE GAASEO 20cm,The height of the object in the image is 28 cm.
22375,22405,https://m.media-amazon.com/images/I/511rwf+F22L.jpg,970563,height,High : 16' thick:3mm 110mm 30mm 10mm,"The height of the object, as indicated in the image, is 16 inches."
23107,23137,https://m.media-amazon.com/images/I/512cxpiJdNL.jpg,752266,height,"Product Size 54CM/21.2"" 6CM 2.4 200CM/78.7' (adjustable) 31CM 12.2"" 7.5CM/2.9'","The height of the object in the image is indicated as 54CM/21.2""."
23273,23303,https://m.media-amazon.com/images/I/512pMcKtO5L.jpg,403664,height,22 CM S 26 CM CAPACITY-5OOOML,The height of the object in the image is 26 cm.
23275,23305,https://m.media-amazon.com/images/I/512pUPxPcvL.jpg,521308,height,"Height39 Width:90 Depth:38Weight:141lbs 90"" 39 38"" Copyright Ashley Furniture Industries","The height of the object, which is the sofa, is 39 inches."
23370,23400,https://m.media-amazon.com/images/I/512wblhlNDL.jpg,180410,height,9.5 cm 2 cm 6.7inch iPhone 12 pro max 16 cm 13 cm 7.8 cm BRAND:CONTACT'S MAIN MATERIAL:Crazy Horse Oil Leather LINING MATERIAL:Polyester COLOR:Coffee SIZE:9.5*2*13CM WEIGHT135g,The height of the object in the image is 9.5 cm.
23436,23466,https://m.media-amazon.com/images/I/513+Cq5ZTUL.jpg,816782,height,Rug Form Type Area Rug Size 4'x6' Material Polyester,The height of the object in the image is 4 feet.
23962,23992,https://m.media-amazon.com/images/I/513ZPzYuXmL.jpg,579652,height,Total Length: 31.49 in / 80 cm width: 11.8 in / 30 cm.,"The height of the object in the image is not directly provided with units. However, based on the dimensions given for length and width, one could infer that the height would be approximately half of the total length since it appears to be a cylindrical shape. If we assume the cylinder's dimensions are consistent, the height might be around 15.74 inches or 39.98 centimeters. For an exact measurement, additional information about the proportions of the object or its intended use would be necessary."
24350,24380,https://m.media-amazon.com/images/I/513yug-pnVL.jpg,142748,height,"""68 68 74"" 1.50","The height of the object in the image, including the pole and the canopy, is 89 inches."
24416,24446,https://m.media-amazon.com/images/I/5142E+ED0+L.jpg,730429,height,,The height of the object in the image is 50 inches.
24425,24455,https://m.media-amazon.com/images/I/5143AznhgeL.jpg,886874,height,TELESCOPICROD F50 145 140 135 130 125 120 115 110 110 Longest 105 100 300 05 05 140cM 90 05 80 80 75 75 70 70 65 Shortest 60 60 55 56 110cM 50 50 45 45 40 40 35 30 00 25 25 20 20 15 15 10 10 4 5 om om,The height of the object in the image is 140 cm.
25159,25193,https://m.media-amazon.com/images/I/514uH9H18YL.jpg,764618,height,Total length:31.8 in/81 cm Width:23.6 in/60cm,"The height of the object in the image is given as 31.8 inches or 81 centimeters. This measurement is provided at the bottom of the image, indicating that it is a standard-sized item, likely designed to be used for storage or transport purposes where such dimensions would be practical."
25163,25197,https://m.media-amazon.com/images/I/514ukHMYPtL.jpg,810266,height,10 fI. OZ 3 J9 3,The height of the object in the image is 3 inches.
25217,25251,https://m.media-amazon.com/images/I/514zZckYDVL.jpg,978900,height,PYREX COOKING EXPERT SINCE 1915 Bake & Enjoy 1.1L25x25cm34 Tres haute resistance a la chaleu esista EXTREME 40'0 VEROSIGLASE +300'0 10,"The height of the object, as indicated on the packaging, is 125 mm."
25630,25664,https://m.media-amazon.com/images/I/515P6p8yqsL.jpg,931856,height,3pcs/16',"The height of the object in the image, as indicated by the text below it, is ""16”,"" which likely stands for inches. Therefore, the height of the object is 16 inches."
25667,25701,https://m.media-amazon.com/images/I/515S6+0lFAL.jpg,277199,height,"3 WARNING Keep this bag away from babies and children. Do not use in cribs, bed, carriages or playpens. The thin film may cling to nose and mouth and prevent breathing. AVISO Para evitar el pelgro de asfixia mantener siempre fuera de el alcance de ninos y de bebes No usar en cunas, camas, carriolas y corrales para bebes. El plastico delgado puede pegarse a la narlz y boca y detener la respiracion ATTENTION Garder ce sac hors de portee des bebes et enfants Ne pas utiliser dans les berceaux, lits,poussettes ou parcs a bebe Le film protecteur,etant fin,pourrait par inadvertance provoquer I'etouffement en bloquant les narines ou/et la bouche 10""",The height of the object in the image is 13 inches.
25699,25733,https://m.media-amazon.com/images/I/515U0rQiUrL.jpg,141308,height,ORTLIEBWATERPROOF -Ot-yy K/y33 3yXy Xyy. 3 4.11 H14xW21xD28cm 4.1 260g IP64/PVCfree PS21/PS21R -3-y,"The height of the object in the image is 14x21.5cm, as indicated by the dimensions provided in the text."
25717,25751,https://m.media-amazon.com/images/I/515Uj6hsQvL.jpg,573063,height,E D B A DURABLE 3660 A6-0.3mmA-Z 25tlg/di MADE IN GERMANY,"The height of the object in the image is not explicitly stated with units. However, based on standard A6 paper dimensions, which are approximately 105 mm x 148 mm, and considering that the tabs extend beyond the top edge of the sheet, it can be inferred that the height of the object could be around or slightly less than 105 mm, as this would accommodate the lettering and still leave space for the tabs to fit over a standard A6 document."
25891,25925,https://m.media-amazon.com/images/I/515fW45prfL.jpg,758128,height,12' 10' 8.0' 9.0' 10',"The height of the object in the image is 8 feet, as indicated by the red measurement line labeled ""8.0'""."
26288,26322,https://m.media-amazon.com/images/I/5167DiIZsDL.jpg,242256,height,13in TARDT GRAS 18.5' in Small Garden Flag,"The height of the object in the image, as indicated by the scale provided, is 18.5 inches."
26370,26404,https://m.media-amazon.com/images/I/516CEtBE+iL.jpg,470067,height,17.7inchFlexible Hose Reach 17.7inch,"The height of the object in the image, as indicated by the text overlay, is ""17.7 inch Flexible Hose Reach"". This measurement suggests that the flexible hose attached to the faucet extends 17.7 inches from its base point on the sink."
26416,26450,https://m.media-amazon.com/images/I/516EpX5rmJS.jpg,254590,height,ULTRAPAPERTM Press Here UltraSource THE NEW STANDARD FOR INNOVATION Copyright 2018 UlroSource LLC,"The height of the object, which is a box, cannot be precisely determined from the image provided because there is no reference scale or measurement indicator visible. To accurately measure the height of an object in an image, one would typically need to compare it with known dimensions or use a ruler or similar tool for precise measurement. Since such tools are not present in this image, any attempt to provide an accurate measurement would be speculative and not based on the information available within the image."
26588,26622,https://m.media-amazon.com/images/I/516RpqjWxIL.jpg,752266,height,76.75 10.25',The height of the object in the image is 76.75 inches.
26657,26691,https://m.media-amazon.com/images/I/516X9lWiQHS.jpg,858439,height,PRODUCT SIZE 4.57 5 8.66 in 3.90 in 4.13 in 2.76 in,"The height of the object, which is a toilet brush with an extendable handle, is 14.57 inches as indicated in the image."
26740,26774,https://m.media-amazon.com/images/I/516dVAOGLJL.jpg,180410,height,Size Information 20CM 3CM 10.5CM,The height of the object in the image is 20 centimeters.
26851,26885,https://m.media-amazon.com/images/I/516luwTtPQL.jpg,202651,height,,The height of the object in the image is 2 inches.
27025,27059,https://m.media-amazon.com/images/I/516zOeonnQL.jpg,120219,height,HIGH: 5.11in iPhone LONG: 5.11 in PARAGRAPH: 5.11 in WEIGHT: 0.19 lb,"The height of the object, which is a cylindrical container or pouch, is indicated as 5.11 inches in the image."
27134,27168,https://m.media-amazon.com/images/I/51761os9SAL.jpg,721542,height,"Master 6.5' t  to 7.5' 8' ATTENTION our canopy wall,only fit above frame size,please check before you order","The height of the object, as indicated in the image, is 8 feet."
27187,27221,https://m.media-amazon.com/images/I/5178yEPKKpS.jpg,141308,height,DINOINNEWIN TASCHE 1 60CM 24CM 47CM 14CM GEWICHT FARBE 0.7KG Schwarz GROSSE MATERIAL 60x14x24 1680D Polyester,"The height of the object, as indicated in the image, is 60 cm."
27230,27264,https://m.media-amazon.com/images/I/517BuDxJrtL.jpg,437623,height,TASTING CARD 100X148mm/RANDOM1OF 9 COASTER 100XI0Omm/RANDOM 1OF 9 PHOTOCARD 55X85mm/RANDOM 5OF 45,The height of the object in the image is 100mm.
27433,27467,https://m.media-amazon.com/images/I/517O9ZrRLOL.jpg,142748,height,Size 1.6 meters Colour Pink Stripe Pattern Striped,The height of the object in the image is 1.6 meters.
27641,27676,https://m.media-amazon.com/images/I/517djTHrHbL.jpg,893692,height,"DIMENSIONS/SPECS PACKINGDIMENSIONS 17.75x13.75x7.75 in 5.7 lbs 17.75"" 13.75' LUGGAGE DIMENSIONS (INCLUDING WHEELS AND HANDLES) 30.75x19.25x12.75IN",The height of the object in the image is 17.75 inches.
28084,28119,https://m.media-amazon.com/images/I/5183vRItTgL.jpg,175315,height,Size Lounger-7' Color Grey Material Memory Foam Fill Material Memory Foam,"The height of the object in the image is ""7'""."
28387,28422,https://m.media-amazon.com/images/I/518QAaedh+L.jpg,589105,height,Keenpioneer BUN PAN RACK COVER 53 INCH x 80 INCH 13MIC BUN PAN RACK COVERE 50 PCS CLEAR HIGH DENSITY CORELESS ROLL Made in China 85690,The height of the object in the image is 53 inches.
28644,28679,https://m.media-amazon.com/images/I/518frn+ANLL.jpg,460806,height,Rollei,The height of the object in the image is 86 mm.
28840,28875,https://m.media-amazon.com/images/I/518tNxA7VuL.jpg,375438,height,"1.5 liters 8"" 5.5"" SOMETIME PIWET Pla mel 4.75"" 4.75"" 11.5""","The height of the object, as indicated in the image with units, is 8 inches."
28875,28910,https://m.media-amazon.com/images/I/518vyHPyeUL.jpg,460806,height,,"The height of the object, as indicated on the rim of the filter in millimeters (mm), is 77 mm. This measurement refers to the diameter of the filter ring and not the overall height of the filter itself when mounted on a lens."
28882,28917,https://m.media-amazon.com/images/I/518w3C4x6rL.jpg,589105,height,1.2CM 15CM 10CM,"The height of the object in the image, as indicated by the measurement provided, is 15 centimeters."
29603,29638,https://m.media-amazon.com/images/I/519ldQipoHL.jpg,358831,height,1 pcs tailgate 7CM AGES 90CM,The height of the object in the image is 7 centimeters.
29833,29868,https://m.media-amazon.com/images/I/51A-IEpFSRL.jpg,567118,height,SIDE:5.0HIGHX4.0WIDE HIGH WIDE,The height of the object in the image is 5.0 inches.
29850,29885,https://m.media-amazon.com/images/I/51A03-o7BOL.jpg,727145,height,Replace Rubber MS8313,The height of the object in the image is 30mm.
29892,29927,https://m.media-amazon.com/images/I/51A2QcSi4LL.jpg,178778,height,": SIZE : ROSE OF NO MAN'S LAND 9.25 "" LANCOME SK-II 4.33 "" CONFORT TONIQUE QORGOARMAV e400ml13.4FLOZ 4.13 ""","The height of the object in the image is 9.25 inches, as indicated by the measurement label on the top view of the item."
29988,30023,https://m.media-amazon.com/images/I/51A8dyltfvL.jpg,120219,height,schreibtisch organizer GroBe:L26 B10  H11CM Material:PS CM 26CM CM,The height of the object in the image is 11 centimeters (cm).
30290,30325,https://m.media-amazon.com/images/I/51ATyYMRANS.jpg,762585,height,"ULTRA ULTRA ULTRA RIZLAT. RIZLAF SLIM ULTRA SLIM RIZLAF SLIM ULTRA SLIM RIZLA-F SLIM 57 5.7 5,7 120 120 ENTRIC 5,7MM 120 ENSTEKS 120 5,7MM ....... 120 FILTRES EN STICKS","The height of the object in the image is 5.7 mm, as indicated on the packaging."
30465,30500,https://m.media-amazon.com/images/I/51AixAQR7yL.jpg,849273,height,"14.0"" ROPA",The height of the object in the image is 14.0 inches.
30531,30566,https://m.media-amazon.com/images/I/51Amf7l9F8L.jpg,866516,height,18.5CM 7CM 15CM,"The height of the object, as indicated in the image with units, is 18.5 centimeters."
