index,image_link,group_id,entity_name,OCR Text,prediction
300,https://m.media-amazon.com/images/I/319RcGrykvS.jpg,952353,voltage,1599.4 1(0ut Line) 1555.6(0pening Aera Lp) 1553.4 (Opening Aera Do9n) 096 1549.4 (Active Area) 921.610ut Line 871.604c For 70 inch display 4pin RS232 connecto Spin LSS connector Unit: mm,The voltage rating of the object in the image is 1593.4 ± 0.2 volts (V).
301,https://m.media-amazon.com/images/I/319Utc-4JCL.jpg,922709,voltage,2ZAAAAM,120/240V
323,https://m.media-amazon.com/images/I/31AnSDFDuuL.jpg,900671,voltage,180 M BLACK+DECKER,120 V
334,https://m.media-amazon.com/images/I/31B43FuEJSL.jpg,525429,voltage,<45db 120w,"The voltage rating of the object in the image is not directly indicated in the provided information. Typically, such details would be found on a label or specifications sheet that is often absent from promotional images. To determine the exact voltage rating, one would need to refer to the product's documentation or packaging."
340,https://m.media-amazon.com/images/I/31BE5BamUYS.jpg,997176,voltage,,24V
378,https://m.media-amazon.com/images/I/31DKMfOhB4L.jpg,997176,voltage,25cm/9.84in 12v 13.7cm/5.39 in,12V
384,https://m.media-amazon.com/images/I/31DTUHgs+EL.jpg,997176,voltage,,24V
388,https://m.media-amazon.com/images/I/31Dbs085g7L.jpg,240413,voltage,RoHS 2GBDDR2 1066MHz OX Non-ECC PC2-8500240Pin wetimy,1.8V
407,https://m.media-amazon.com/images/I/31EES5Hi6CL.jpg,883833,voltage,,24V DC
408,https://m.media-amazon.com/images/I/31EIyTViitL.jpg,952353,voltage,"Back View 14""FHD Non-Touch Screen 30Pin eDP Connector",19V
416,https://m.media-amazon.com/images/I/31EX9Bfz9RL.jpg,519155,voltage,"5kg 32cm 2:00 31cm 30,5cm",230 V~
446,https://m.media-amazon.com/images/I/31Fmc5aFJ3L.jpg,883833,voltage,FAST OFF SLOW,"The voltage rating of the object in the image is 230V~. This indicates that it is designed to operate on a standard household electrical supply, which typically operates at around 230 volts in many parts of the world. The tilde (~) symbolizes an alternating current (AC), meaning the voltage fluctuates periodically over time rather than being constant."
464,https://m.media-amazon.com/images/I/31GNqESSmKL.jpg,276700,voltage,,"The voltage rating of the object in the image, which is a saw blade, is not directly discernible from the provided information. Typically, such ratings would be found on the packaging or accompanying documentation rather than on the blade itself. To accurately determine the voltage rating, one would need to refer to the product specifications or manufacturer's details that are not visible in this image."
473,https://m.media-amazon.com/images/I/31GoXwn1aEL.jpg,860821,voltage,52VerandaEnergy Ratings at High Speed Airflow Electricity Use Airflow Efficiency Cubic Ft Per Min. WattsExcl.Lights) Cubic Ft Per Min.PerWatt 5967 73 : 82,The voltage rating of the object in the image is 120 VAC.
519,https://m.media-amazon.com/images/I/31IIZrDt9nL.jpg,952353,voltage,Fit for 50 inch display 50 inch,24V
572,https://m.media-amazon.com/images/I/31LXW+WymkL.jpg,952353,voltage,"7""Height Displa 10Width","The voltage rating of the object in the image is not explicitly stated in the provided information. To determine this, one would typically look for a label or specification sheet that details the electrical specifications of the device. Since such details are not visible in the image and without additional context or documentation, it's not possible to accurately provide the voltage rating based solely on the visual content of the image."
583,https://m.media-amazon.com/images/I/31LwkMqi+DL.jpg,306956,voltage,MINI MAKER WAFFLE Cookng SurfaceNon-Stick|350 W,240 V
598,https://m.media-amazon.com/images/I/31N0+PxQKpL.jpg,922709,voltage,25.2,25.3 V
616,https://m.media-amazon.com/images/I/31NtW+XAQbS.jpg,997176,voltage,1200ml large capacity,24V
642,https://m.media-amazon.com/images/I/31P25z7akHL.jpg,709627,voltage,BA,6 volt
650,https://m.media-amazon.com/images/I/31PUY-Ei5NL.jpg,752266,voltage,LED 40W 110 Voltage 2700K/4000K/6000K,110 V
671,https://m.media-amazon.com/images/I/31QMcYOTvEL.jpg,635528,voltage,,5V 2A
677,https://m.media-amazon.com/images/I/31QeojWmeTL.jpg,416664,voltage,Non-polarity Plug Do not Block the Second Outlet,100-240V~
696,https://m.media-amazon.com/images/I/31RgINXWvVL.jpg,746096,voltage,000 e,120V
724,https://m.media-amazon.com/images/I/31SsDpoaZzL.jpg,957050,voltage,12GBRAM 512GBSSD,19V
745,https://m.media-amazon.com/images/I/31U9q6LiKxL.jpg,187993,voltage,Two Speed Control 400w 100% Pure Copper Motor,240V~
762,https://m.media-amazon.com/images/I/31UmM1fn7mL.jpg,641642,voltage,ENERG Bellanny B0SDTSC4JX ZD1504031 40W A B C D E F F G 40 kWh/1000h 2019/2015,230 V~
777,https://m.media-amazon.com/images/I/31VLvDs2kKL.jpg,860821,voltage,"ENERGYGUIDE Estimated Airflow Yearly Energy Cost 4,353 $14 Cubic Feet Per Minute   The higher the airfiow, the $3 $34  Airfow Eficiency. 85 Cubic more air the fan will move Cost Range of Similar Models (19  83) Feet Per Minute Per Watt  Based on 12 cents per kWh and 6.4 hours use per day  Your cost depends on rates and use  Energy Use: 51 Wats All estimates based on typical use, excluding lights ftc.gov/energy",120 V
779,https://m.media-amazon.com/images/I/31VUtKNNs2L.jpg,746096,voltage,74.5W What's in the box: Power Cable User Manual One Remote TM2180E with batteries 42.6* H 84.5' 45.2*H 1.1D 14.4D 16.9*W Dimensions: (INCHES W x H x D):  TV Without Stand: 74.5 x 42.6 x1.1  TVWith Stand: 74.5 x45.2 x14.4  Stand Footprint:16.9 x10.6 x14.4,100-240 V~
796,https://m.media-amazon.com/images/I/31W-BR1-D+L.jpg,709627,voltage,GINVSO/ARRO CEFC SATTERYPACK REPLACE V,7.4V
800,https://m.media-amazon.com/images/I/31W6naLlKWL.jpg,952353,voltage,"13.3""",13.3 inches
810,https://m.media-amazon.com/images/I/31WjY1kCiUL.jpg,860821,voltage,ENERGYINEORMATION at High Speed Airflow Electricity Use Airflow Efficiency 2486 46 54 Cubic Feet Per Minute Watts (excludes lights) Minute Per Watt Cubic Feet Per Compare:36 to 48'ceiling fans have airflow efficiencies ranging from approximately 71 to 86 cubic feet per minute per watt at high speed. Money-Saving Tip:Tum off fan when leaving room,240 V
818,https://m.media-amazon.com/images/I/31WtBY9ADKL.jpg,860821,voltage,Highrise Energy Ratings at High Speed Airflow Electricity Use Airflow Efficiency Cubic Ft Per Min. WattsExcl.Lights Cubic Ft Per Min.Per Watt 4263 49 : 85,The voltage rating of the object is 120/240 VAC.
846,https://m.media-amazon.com/images/I/31YA-Fv-I9L.jpg,276700,voltage,,120V
850,https://m.media-amazon.com/images/I/31YSvO3erDL.jpg,883833,voltage,SPIA C CERTIFIED OGTOOOR USE OELN SER1AL 208/220 CAPACATS ET),208-230V
887,https://m.media-amazon.com/images/I/31aoamhRGFL.jpg,648011,voltage,APETY LED light bulbs APETY LED light bulbs APETY Ceongntbuils APETY CEDlghrbulbs APETY APETY,230V~
889,https://m.media-amazon.com/images/I/31asG1zgZ8L.jpg,140266,voltage,"P 97845 wuxe Paulmane Artikelinto EAN werner Code 978.45 Farbe 4000670978450 Metal Maseria Herseolle Garantie 5Jatre Leferenfarg Palmann Abemessungen Verpackungs Gewicht nedo Ge Bd 53x1,912 9 g Spannung Technische Daten 12V Leuchemitoidaten Met Long ockaiFazurg sow GX5.3 Max Long Anah Bron 4107.200",12 V
933,https://m.media-amazon.com/images/I/31coW5q-qUL.jpg,635528,voltage,25mm 65mm 160g,12V
935,https://m.media-amazon.com/images/I/31cqW0wLgjL.jpg,648011,voltage,30 MADEINKUNGARY wmy,240 V
940,https://m.media-amazon.com/images/I/31cza3dWk5L.jpg,416664,voltage,Non-polarity Plug Do not Block the Second Outlet,120V
943,https://m.media-amazon.com/images/I/31d72yLgz+L.jpg,860821,voltage,7.52 15.75 18.9 47.5,120 V
968,https://m.media-amazon.com/images/I/31eY9xt4fZL.jpg,746096,voltage,ENERGY GUIDE Estimated Yearly Energy Cost $21 $17 Cost Range o Smiar Mode's (40-44 $5 134 n p e nd .c.gov/energy AMS LD UEESTREQUS APPL OUHEC DANSLAP,120 V
1012,https://m.media-amazon.com/images/I/31gvY0GEg1L.jpg,957050,voltage,"Genuine Windows 11 Pro,64bit,English 3-cell 53Whr Li-Polymer|","The voltage rating of the object in the image, which is the laptop's battery, is 11.4V. This value indicates that the battery can provide a maximum output of 11.4 volts when it is fully charged and in use."
1046,https://m.media-amazon.com/images/I/31jAf7Xuk7L.jpg,709627,voltage,SON,3.7V
1049,https://m.media-amazon.com/images/I/31jPDelqOoL.jpg,752266,voltage,power:12W 5cm/1.9in 23cm/9in,220V~
1054,https://m.media-amazon.com/images/I/31jbdYzsH0L.jpg,501250,voltage,"4.2"" 32"" Wire Length:67 8.6"" 11.7"" Weight 8.36 LBS",100-240V~ 50/60Hz
1061,https://m.media-amazon.com/images/I/31jyPZenaZL.jpg,883833,voltage,,240VAC
1066,https://m.media-amazon.com/images/I/31kEBM3VUHL.jpg,240413,voltage,GLOBAL 64GBDDR4-3200CL22 MEMORY,"The voltage rating of the object in the image is 1.2V, which is indicated on the label as part of the specifications for this type of memory module."
1128,https://m.media-amazon.com/images/I/31mm0KQRdQL.jpg,648011,voltage,Motion Sensor LED Light Bulb 5W Warm White,120V
1149,https://m.media-amazon.com/images/I/31nSLxSCtSL.jpg,494500,voltage,,125V
1185,https://m.media-amazon.com/images/I/31pTvGlttVL.jpg,709627,voltage,Sealec,12 volt
1214,https://m.media-amazon.com/images/I/31qAoxARCML.jpg,240413,voltage,DMSCertitied 100PIN InfoPrint INF-28P1852-DM50-043-1,3.3V
1273,https://m.media-amazon.com/images/I/31tQMZp3k+L.jpg,860821,voltage,"235 7_ 8/4"" 13"" 143/4"" 60""",120 V
1279,https://m.media-amazon.com/images/I/31tbnjZr6IS.jpg,883833,voltage,,120V
1309,https://m.media-amazon.com/images/I/31v09z66jAL.jpg,140266,voltage,39cm Weight:22.45kg,"The voltage rating of the object in the image is not directly visible or indicated in the provided information. Typically, such details would be found on a label or specifications sheet that is often included with equipment like this, but it's not present in the image or the accompanying text. To obtain the voltage rating, one would need to refer to the manufacturer's documentation or contact the supplier for this specific model."
1348,https://m.media-amazon.com/images/I/31wpZi5OtTL.jpg,709627,voltage,,120V
1372,https://m.media-amazon.com/images/I/31yLzE61JLL.jpg,276700,voltage,300,120 V
1404,https://m.media-amazon.com/images/I/31zuVfkm+cL.jpg,635528,voltage,Strong Magnetic Suction Auto Alignment 7.5W foriPhone,5V 0.6A
1425,https://m.media-amazon.com/images/I/41+4PUXnIPL.jpg,860821,voltage,"U.S.Government ENERGYGUIDE Estimated Yearly Energy Cost Airflow 2,531 $5 Cubic Feet Per Minute $3 $45 The higher the airflow the more air the fan will move Based on 12 cents per kWh and 6.4 hours use per day Airflow Efficiency 77 Cubic Feet Per Minute Per Watt Your cost depends on rates and use Energy Use:18 Watts All estimates based on typical use, excluding lights ftc.govlenergy",120 V
1447,https://m.media-amazon.com/images/I/41+By5gaaGS.jpg,276700,voltage,SINOTIEL 18'x24TPI EXINOTOOL 24 Bi-Metal XINOTOOL KKINOTOOL LANNNMAAAAAA,"There is no object in the image that provides information about voltage rating. The image shows a hand saw and its components, which are tools used for cutting materials like wood or metal, but they do not have any electrical components attached to them. Therefore, it's not possible to determine a voltage rating from this image as it pertains to electrical devices rather than manual tools."
1453,https://m.media-amazon.com/images/I/41+DTjBPl9L.jpg,416664,voltage,Space Saving Energy Efficient Free The 2nd Outlet Requires Less Than 30 CentsA Year For Other Devices To Operate.No More Hassle Of Changing Bulbs OLO Luxdumin,120V
1488,https://m.media-amazon.com/images/I/41+Lenh2gxL.jpg,952353,voltage,FULLHD DISPLAY Be prepared for brilliant visuals and crisp images with the unforgettable quality of this stunning FHD display HD VA FHD VA Panel Low Blue Light 1920x1080) 21.5,"21.5"""
1494,https://m.media-amazon.com/images/I/41+NWCZLgRL.jpg,416664,voltage,,230V~
1537,https://m.media-amazon.com/images/I/41+WgnnS-4L.jpg,306956,voltage,Vots110V/60H mensons:375-375265mm Production Date2220211000 wer.1.4KW MADEIN CHINA,220-240V~ 50/60Hz
1544,https://m.media-amazon.com/images/I/41+YwrTPRZL.jpg,507467,voltage,Aluminum alloy material maximum output brightness can up to 1200lm.,3.7V
1547,https://m.media-amazon.com/images/I/41+ZzOsNgUL.jpg,416664,voltage,MUSIC CORDLESS TABLE LAMP More than just a ordinary table lamp. It can also be used as a wireless speaker,100-240V~ 50/60Hz
1551,https://m.media-amazon.com/images/I/41+b6q8jaYL.jpg,746096,voltage,"BRAVIA XR Google TV QD-OLEDA95K 65""Class 55 7/8 21/4* TV - 8/5 35 A + + "" 111/8* SONY SONY",100-240 V~
1557,https://m.media-amazon.com/images/I/41+bvT10DfL.jpg,957050,voltage,"14"" HD Anti-glare 4GBRAM Celeron nside 64GB emMc 128GB so Card UHD Graphics","The voltage rating of the object in the image is not directly discernible from the provided information. To accurately determine the voltage rating, one would typically look for a label or specifications sheet that details the electrical parameters of the device. Since such details are not visible in this image, and without additional context or information about the specific model of the device, it's not possible to provide an accurate voltage rating. For precise technical specifications like voltage, one would need to refer to the manufacturer's documentation or product datasheet."
1566,https://m.media-amazon.com/images/I/41+chyZt8gL.jpg,416664,voltage,"12cm/4.7"" H48cm/18.9"" E26*2 L32cm/12.6""",240V~
1580,https://m.media-amazon.com/images/I/41+fDg80I2L.jpg,306956,voltage,OF,110V~
1620,https://m.media-amazon.com/images/I/41+nV2Z755L.jpg,306956,voltage,"1500W High Power 3 Times Larger Than Normal 000 Even Heating Temperature Adjustment 0.98"" 1500W 11.8",1500W
1623,https://m.media-amazon.com/images/I/41+nliItlsL.jpg,641642,voltage,OLD-FASHIONED REPLACEMENT BUBBLE LIGHTS dCray nm Jadeantigis .O bdaralutiorle aey gy E12120,120V
1628,https://m.media-amazon.com/images/I/41+oPla2sQL.jpg,746096,voltage,43 23.01 INCH 39.25INCH 3.21 INCH,100-240V~
1639,https://m.media-amazon.com/images/I/41+rCAFYF6L.jpg,709627,voltage,VFC EQUIPPED X,3.7V
1654,https://m.media-amazon.com/images/I/41+tW80KCUL.jpg,416664,voltage,NOTJUSTNIGHT LIGHTS IT IS ALSO A DECORATION WITH HIGH APPEARANCE E3+,100-240V~ 50/60Hz
1665,https://m.media-amazon.com/images/I/41+ugDfu0bL.jpg,746096,voltage,"TheTerraceFull Sun What's in the box: 75TV 66.6W User Manual One Remote TM2095A with batteries (pictured below) 38.6H 74.5"" O 125 n 2.4D Dimensions: INCHESWxHxD TVWithoutStand66.6x38.6x2.4 Featresandspecctions sjecttochange",100-240V~ 50/60Hz
1679,https://m.media-amazon.com/images/I/41+yEeTKSmL.jpg,635528,voltage,LINKON 3000mAh,5V
1730,https://m.media-amazon.com/images/I/41-7bZNNbcL.jpg,416664,voltage,Drop the essential oil on the rock according to personal preference altstone essential oil e10ml/0.34fl.oz Note: Essential oil not included,10ml/0.34fl.oz
1753,https://m.media-amazon.com/images/I/41-FtxMZPxL.jpg,746096,voltage,HD 9 ready 4350WA Freeviey DDOLBY uetoot NETFLIX D000000..,100-240V~ 50/60Hz
1760,https://m.media-amazon.com/images/I/41-H2T7VnuL.jpg,276700,voltage,NL80-2,12V
1761,https://m.media-amazon.com/images/I/41-H4bhZkjL.jpg,507467,voltage,Wide Area of lllumination & 400 LUMENS MAXIMIZETHEVIEW RIGHT IN FRONT OF YOU,12V
1825,https://m.media-amazon.com/images/I/41-USrsUO8L.jpg,860821,voltage,"PROGRESS Part LIGHTING tanle Mesilla Damp Location Listed Descr'ptek P250073-020 Performance kgat lnejancy paan H FCCTtk7,Pat 5Cx 9 Limited L Dameter: 60 in g 41/4 m EMERGYGUIDE Yary Engy Cost Estinated $6 4,908 Rev 06/21",120V
1831,https://m.media-amazon.com/images/I/41-VdWbVfHS.jpg,416664,voltage,karenina BOOK,120 V
1836,https://m.media-amazon.com/images/I/41-VvgibYmS.jpg,952353,voltage,"2.8"" Touch Display Module E Resistive Touch Controlier XPT2046, ST7789 Driver, Using SPI Bus Comes with Raspberry Pi Pico C/C+ and MicroPython Demk Display Color Display Panel IPS Sesitet SP1 ST77(9XPT2946",5V
1846,https://m.media-amazon.com/images/I/41-XNcXwKjL.jpg,860821,voltage,"52"" HANGING MEASUREMENTS CANFIELD WITH4DOWNROD A-13.50B-10.75C-12.50 AIRFLOW POWER AIRFLOW USAGE EFFICIENCY 6151 65 94 Cubic Ft.Per Watts on High Cubic Ft.Per Minute on High (ExcludesLights) Minute Per Watt",120 V
1868,https://m.media-amazon.com/images/I/41-dp0nagbL.jpg,746096,voltage,Tilo 32-inch LCDHDTV HDTV,100-240 V
1875,https://m.media-amazon.com/images/I/41-fl+ZZaqL.jpg,507467,voltage,T SERIES THUMB 85LUMENS,3V
1881,https://m.media-amazon.com/images/I/41-ge0hveJL.jpg,641642,voltage,LEDSTRIPLIGHT DETAIL 8mm 2835LED AZL* O D10 D1 R4 012 5 m 0.4 m,12V
1889,https://m.media-amazon.com/images/I/41-j4MaKeRL.jpg,240413,voltage,,"The voltage rating of the object, which is a RAM module, is not explicitly mentioned in the provided description. Typically, such information would be found on the label or specifications sheet that often accompanies hardware components like this. To provide an accurate voltage rating, one would need to refer to the manufacturer's data sheet or packaging for this specific model of RAM."
1896,https://m.media-amazon.com/images/I/41-mdr+XX1L.jpg,416664,voltage,UPGRATED WATERPROOFTECH Withstand Most of Weather Conditions IP65Waterproot Heat-Resistar Frost-Resistant,100-240V~
1951,https://m.media-amazon.com/images/I/41-yZWQHnCS.jpg,746096,voltage,Federal law prohibls removal ofhis abel before consumer purchase ENERGY GUIDE Television SAMSUNG Electronics QN75Q70AAF Estimated Yearly Energy Cost $97 $20 Cost Range of Similar Models 69.5'or greater $15 Based on 12 cents per kWn and 5 tours use per day Estimated yeary electricity use of this model 167 kWn Your cost depends on your utility rates and use. Vistftc.gov/energy,167 kV
1986,https://m.media-amazon.com/images/I/4102kjq8WNL.jpg,276700,voltage,Tmakita makita,18V
2006,https://m.media-amazon.com/images/I/4107hqnUv2L.jpg,501250,voltage,33FT Extension Cord SJTW3/C 16 AWG Indoor ouurunr SJTW Weather Resistant Thermoplastic Insulation Hard Service Cord,125V
2021,https://m.media-amazon.com/images/I/410AbQ4Ra8L.jpg,507467,voltage,"BRIGHT AND SOFTLIGHT High-performance LED.with TIR lens,delivering a max output of 180 lumens and a soft, well-balanced beam. TIR Optic Lens",12V
2053,https://m.media-amazon.com/images/I/410KmsTlzoS.jpg,965518,voltage,"One-push bit mounting for easy change of drill bits Ergonomic rear handle for better overhead control metabone Three modes of operation 7.5 Amp motor 2.4 ft-lbs of impact energy 0-1,100 No load RPM 0-4,300 full load impact rate 0-780 in reverse",120 V
2061,https://m.media-amazon.com/images/I/410LZogF11L.jpg,641642,voltage,"66 STRONG BOND LUMENS 3M model 200MP Per foot adhesive light output LONG LIFESPAN BETTER ULTRA-BRIGHT, 50,000+ CONDUCTIVITY EFFICIENT HOURS 2 oz. copper pad SMD 2835 thickness LED chips continuous use Armacost IGHTING",24V
2064,https://m.media-amazon.com/images/I/410Npa4ENhL.jpg,952353,voltage,MP TRIO 12.5INCH Portable laptop monitor,12V
2071,https://m.media-amazon.com/images/I/410OftUHL1S.jpg,709627,voltage,"CASIL12V 7AHCA1270EIRSTALERTADT ALARM BATTERY 3.7"" CASIL Pb VALVEREGULATED CAUTIONE CA127212V7.2AN DONOEO 2.56"" 5.94""",12V
2083,https://m.media-amazon.com/images/I/410RqzZs1-L.jpg,965518,voltage,Trakita LXT.BRUSHLESS CORDED PERFORMANCE E 160 makita Tmakita,18V
2092,https://m.media-amazon.com/images/I/410UN2agLxL.jpg,952353,voltage,"Thin Inbuilt Touch in Front Panel 15.6""Size 1366 X 768 WXGAHD HD Bottom Right Connection 40Pins Thin frame In Built Touch Screen 40Pins","15.6"""
2101,https://m.media-amazon.com/images/I/410VVt57KRL.jpg,186035,voltage,WEN 4500W,120V
2109,https://m.media-amazon.com/images/I/410XyLNvgzL.jpg,746096,voltage,"LEDX85K Google TV 65""cass  O 57 1/4* 31/4* TV + . + -4/E SE 475/8* 13 3/8* SONY SONY",100-240 V~ 50/60 Hz
2126,https://m.media-amazon.com/images/I/410bxTTGAaL.jpg,957050,voltage,"Product dimensions 15.6"" diagonal display 9.86""D 9.86""D 14.31""w 3.99 0.71"" Ibs closed height",19V
2135,https://m.media-amazon.com/images/I/410eM1qXPtL.jpg,957050,voltage,"15.6""FHD IPS Touch 16GB RAM CORe 512GBSSD i7 TOUCHSCREEN Windows 11 PROFESSIONAL",10.5V
2140,https://m.media-amazon.com/images/I/410epO05zuL.jpg,883833,voltage,"FASCO Fasco Industries,Inc C SAFETYWARNING Motor Division Assembled In Mexico This MotMat No.70216808 Gracedn 115V TYPEU21B T.P.AO 79CFM AccetarcaW 1.1A 50/60Hz Class B OrNowtic Model A079 3000RPM 1/50HP CocnToPa LR36496 Max.Amb.40C PessidlpyDao ElecticS M2715",115 V
2146,https://m.media-amazon.com/images/I/410fcUFxEKL.jpg,416664,voltage,Smart sensing gesture control No touch/stepless dimming,100-240V~ 50/60Hz
2168,https://m.media-amazon.com/images/I/410kqhlFymL.jpg,883833,voltage,ENERGYGUIDE Mih Lewed Sde :gnde Estimated Yearly Energy Cos $96 ostRa 11.3 Energy Efficiency Ratio Your cost will depend on your utility rates and use. Estimated anrusl energy costis besed on s national average electrioty cost of 12 certs per kwh anda   8 hour dy er  3morperiod For more information wisit www fc gavlerergy,120/240 V
2187,https://m.media-amazon.com/images/I/410nXZdMcgL.jpg,306956,voltage,15.4in 10.4in 6.15in 1200W Faster thermal conduction,120V
2190,https://m.media-amazon.com/images/I/410pdeP7AHL.jpg,240413,voltage,,1.8V
2204,https://m.media-amazon.com/images/I/410sqNKoyKL.jpg,501250,voltage,III OFF MAX MIN,240V~
2219,https://m.media-amazon.com/images/I/410xNPtMQDL.jpg,635528,voltage,QC3.0-Dual Quick Charge Ports Samsung S7-23.6 minutes |Besiter 20000mAh-6 hours,5V
2227,https://m.media-amazon.com/images/I/410z55+TlPL.jpg,952353,voltage,Bottom Right 15.6WXGA HD 1366 X 768 Resolution 40 Pins Bottom Right Connection,12 V
2242,https://m.media-amazon.com/images/I/4110DZ2kuWL.jpg,641642,voltage,3 100 Online Rectifier Online Rectifier 24spcing 4spcing 4 spcing 33ft Online Rectifier Stackable Plug End to end connectable Eliminate flicker Connectable female connector and male plug make a steady bright 2 inch 5 spare bulbs CERTIFIED 2 spare fuse,120V
2244,https://m.media-amazon.com/images/I/4110RGF-8PS.jpg,957050,voltage,120Hz 14 FHD IPS 16GB RAM RTX 2TB sso RTX2060,19V
2262,https://m.media-amazon.com/images/I/4113e0ekB1L.jpg,641642,voltage,STRING LENGTH:50FT 25SOCKETS26BULBS 3FT 1.92FT 1.57inch 25 Sockets 26 G40 Bulbs 1.77inch Standard E12 Base 1W Per Bulb 25WPer Set,120V
2264,https://m.media-amazon.com/images/I/4113h9h6iKL.jpg,648011,voltage,"easier to install mini feet, internationalstandard g4 benchmark",12V
2278,https://m.media-amazon.com/images/I/4118-xW2QGL.jpg,900671,voltage,"The perfect size. WITH5.7QTCAPACITY, HOLDS ENOUGHFOOD FOR PREPARING SIDE DISHESAND APPETIZERS Instontw. J00h Non-stick grill pan",120V
2283,https://m.media-amazon.com/images/I/4119YCb2TkL.jpg,965518,voltage,,20V
2288,https://m.media-amazon.com/images/I/411AQmPNkLL.jpg,860821,voltage,"LIGHTING' PROGRESS Grt 544 Blade Fan Ceig mDry  P250024-081 eages AS Llalh Hegc 5s/8 EMERGYGUIDE Estimated Yearly Energy Cos Adow $6 4,104",120V
2296,https://m.media-amazon.com/images/I/411CDg3w01L.jpg,641642,voltage,50FT OUTDOOR STRING LIGHTS 25BULBS Total Wire Length:50Ft 100.8inch 20.39inch 20.39inch 10inch 4.29inch 25Pcs 25+2Pcs 25+2Pcs E12 Sockets Shatterproof Bulb LED Filanents 1.57inch End to end connection,120V
2310,https://m.media-amazon.com/images/I/411GfbxrD7S.jpg,965518,voltage,,115/230V
2316,https://m.media-amazon.com/images/I/411I31+IQ1L.jpg,271537,voltage,DC2 P 3.3cm/1.2in,12V
2343,https://m.media-amazon.com/images/I/411PoOAFsPS.jpg,501250,voltage,ADJUSTABLE HEIGHT 18.9x17.8x62 INCH 18.948cm 77195cm 62158cm 17.845cm Power Cord:6 Feet (180cm),120V
2347,https://m.media-amazon.com/images/I/411QpCzvifS.jpg,416664,voltage,"2.6in 8.5in 4.5in Product name Led clip lamp LED Qty 24 Product size 215*115*68mm thick2mm Lamp bead size 5730 chip LED LED color Blue,white power 10W Product color Black,white characteristic Frivolity Suitable for fish tank 9.8~19.6in Thickness of glass clip 0.2in",10W
2351,https://m.media-amazon.com/images/I/411RKZa7FRL.jpg,997176,voltage,Ouick &Safe Boling in minutes 6-8 Mins 300W Fast boil Power Auto Shut Off Boil Dry balbali Protection,240V~
2432,https://m.media-amazon.com/images/I/411nQzMBI6L.jpg,997176,voltage,1000 W 1LCapacity Can convert about 5 glasses of water at a time without frequent boiling water,1000 W
2435,https://m.media-amazon.com/images/I/411oAK22t6L.jpg,883833,voltage,NEOPRENE NEOPRENE 11 FT LINE SET INCLUDED,125V
2445,https://m.media-amazon.com/images/I/411pWeh6dxL.jpg,900671,voltage,Smart One-Touch Cooking Select Cooking Preset and Cook with One Tap Adjustable Select preset or adjust Temperature time &temperature Adjustable Time 80C-200C to customize cooking 1~60 Minutes Inn$ky 20015 O0000,200-15V
2452,https://m.media-amazon.com/images/I/411pyq8TWYL.jpg,900671,voltage,KALORIK 400,120V
